"genus_species","site_name","resident","broods","broodsNum","wintering","weedy","hostgenera","hostfamily","range","wingspan","extirpated","mean_dff","sd_dff","mean_dlf","sd_dlf","diet_breadth"
"Polygonia faunus","Lang Crossing",NA,"one",1,"adult",0,1,1,1855637.66,44,"no",179.8888889,50.03859621,200.5,57.46931548,"one"
"Polygonia satyrus","Donner Pass","no","two",2,"adult",0,0,0,2743113.201,49,"no",NA,NA,NA,NA,"zero"
"Polygonia satyrus","Gates Canyon","yes","two",2,"adult",0,1,1,2743113.201,49,"no",144.1818182,94.98296498,143.9090909,95.13617035,"one"
"Polygonia satyrus","Lang Crossing","no","one",1,"adult",0,1,1,2743113.201,49,"no",163.8,19.94241711,166.8,15.30359435,"one"
"Polygonia satyrus","North Sacramento","yes","two",2,"adult",0,1,1,2743113.201,49,"no",114.2105263,60.90573677,166.5789474,66.27410739,"one"
"Polygonia satyrus","Rancho Cordova",NA,"two",2,"adult",0,1,1,2743113.201,49,"no",165.2727273,95.53961577,164.0909091,96.65552705,"one"
"Polygonia satyrus","Suisun Marsh","yes","two",2,"adult",0,1,1,2743113.201,49,"no",NA,NA,NA,NA,"one"
"Polygonia satyrus","Washington","no","one",1,"adult",0,1,1,2743113.201,49,"no",NA,NA,NA,NA,"one"
"Polygonia satyrus","West Sacramento",NA,"two",2,"adult",0,1,1,2743113.201,49,"no",147.1428571,94.6492271,147.4285714,97.51214821,"one"
"Polygonia zephyrus","Castle Peak","yes","two",2,"adult",0,1,1,NA,43,"no",219.8125,36.08548877,229,21.39126473,"one"
"Polygonia zephyrus","Donner Pass","yes","two",2,"adult",0,1,1,NA,43,"no",161.5333333,30.15158672,266.3043478,32.2117091,"one"
"Polygonia zephyrus","Gates Canyon","yes","two",2,"adult",0,1,1,NA,43,"no",142.1428571,117.9765917,137.4285714,124.9918093,"one"
"Polygonia zephyrus","Lang Crossing","yes","one",1,"adult",0,1,1,NA,43,"no",133.7804878,37.57027561,204.3658537,53.16660423,"one"
"Polygonia zephyrus","Sierra Valley","yes","two",2,"adult",0,1,1,NA,43,"no",184.5,71.26810547,185,82.19141422,"one"
"Polygonia zephyrus","Washington","yes","one",1,"adult",0,1,1,NA,43,"no",97.15789474,48.07200983,144.1904762,72.88595135,"one"
"Pontia beckerii","Castle Peak","no","multiple",3,"no",1,0,0,2023719.224,39.5,"no",NA,NA,NA,NA,"zero"
"Pontia beckerii","Donner Pass","no","multiple",3,"no",1,2,1,2023719.224,39.5,"no",207,37.98135508,233.04,26.55415849,"two"
"Pontia beckerii","Sierra Valley","yes","multiple",3,"pupa",1,3,1,2023719.224,39.5,"no",167.4,64.91396015,197.8,68.7956717,"multiple"
"Pontia occidentalis","Castle Peak","yes","multiple",3,"pupa",0,4,1,2576525.015,37.5,"no",220.9090909,35.22628151,236.16,19.8403629,"multiple"
"Pontia occidentalis","Donner Pass","yes","multiple",3,"pupa",1,5,1,2576525.015,37.5,"no",170.0454545,31.85355629,253.173913,30.49029306,"multiple"
"Pontia occidentalis","Lang Crossing","no","multiple",3,"pupa",1,2,1,2576525.015,37.5,"no",192.1666667,40.11989607,221.3333333,39.87556402,"two"
"Pontia occidentalis","Rancho Cordova","no","multiple",3,"pupa",0,0,0,2576525.015,37.5,"no",NA,NA,NA,NA,"zero"
"Pontia occidentalis","Sierra Valley","yes","multiple",3,"pupa",1,6,1,2576525.015,37.5,"no",169.4,73.27148907,198.2,74.85066614,"multiple"
"Pontia protodice","Castle Peak","no","multiple",3,"pupa",1,1,1,5247745.062,44,"no",212,31.94526569,239.75,12.06825825,"one"
"Pontia protodice","Donner Pass","no","multiple",3,NA,1,4,1,5247745.062,44,"no",204.3513514,32.53307395,247.4054054,35.23213453,"multiple"
"Pontia protodice","Gates Canyon","no","multiple",3,"pupa",1,3,1,5247745.062,44,"no",196.6666667,88.19863945,190.1111111,87.2058548,"multiple"
"Pontia protodice","Lang Crossing","no","multiple",3,"pupa",1,2,1,5247745.062,44,"no",200.6923077,40.79094922,231.68,41.6910462,"two"
"Pontia protodice","North Sacramento","no","multiple",3,"pupa",1,2,1,5247745.062,44,"no",160.35,70.36841023,282.05,43.71736377,"two"
"Pontia protodice","Rancho Cordova","no","multiple",3,"pupa",0,3,1,5247745.062,44,"no",178.9166667,109.3945805,184.25,104.9849556,"multiple"
"Pontia protodice","Sierra Valley",NA,"multiple",3,"pupa",1,6,1,5247745.062,44,"no",196.4,76.81174679,204.9,73.59113775,"multiple"
"Pontia protodice","Suisun Marsh",NA,"multiple",3,"no",1,1,1,5247745.062,44,"no",178.3,92.93014103,182,91.3114329,"one"
"Pontia protodice","Washington","no","multiple",3,"no",1,2,1,5247745.062,44,"no",211.3,44.36728024,246.3,42.27436838,"two"
"Pontia protodice","West Sacramento",NA,"multiple",3,"pupa",1,4,1,5247745.062,44,"no",184.1538462,103.1308604,183.3846154,103.2388319,"multiple"
"Pontia sisymbrii","Castle Peak","yes","one",1,"pupa",0,NA,NA,2529264.808,31.5,"no",189.6923077,17.7171509,199.3333333,17.04894914,NA
"Pontia sisymbrii","Donner Pass","yes","one",1,"pupa",0,2,1,2529264.808,31.5,"no",165.1034483,21.3898254,173.7586207,19.35321157,"two"
"Pontia sisymbrii","Gates Canyon","no","one",1,"pupa",0,2,1,2529264.808,31.5,"no",106.3333333,22.89832599,103,19.31320792,"two"
"Pontia sisymbrii","Lang Crossing","yes","one",1,"pupa",0,2,1,2529264.808,31.5,"no",125.36,19.47836407,133.6785714,15.29718825,"two"
"Pontia sisymbrii","North Sacramento","no","one",1,"pupa",0,0,0,2529264.808,31.5,"no",NA,NA,NA,NA,"zero"
"Pontia sisymbrii","Sierra Valley","yes","one",1,"pupa",0,2,1,2529264.808,31.5,"no",118,25.05992817,124.2,35.81480141,"two"
"Pontia sisymbrii","Washington","yes","one",1,"pupa",0,2,1,2529264.808,31.5,"no",106.1851852,21.72031491,120.7407407,19.05375512,"two"
"Pyrgus communis","Castle Peak","yes","one",1,"larva",0,1,1,5278007.109,27,"no",199.5,28.83747562,228.1764706,16.75757737,"one"
"Pyrgus communis","Donner Pass","yes","one",1,"larva",1,1,1,5278007.109,27,"no",167.5652174,27.39558129,240.8695652,31.07668558,"one"
"Pyrgus communis","Gates Canyon","yes","multiple",3,"larva",1,2,1,5278007.109,27,"no",169.6428571,103.4925543,199.2857143,109.3142461,"two"
"Pyrgus communis","Lang Crossing","yes","two",2,"larva",1,1,1,5278007.109,27,"no",194.195122,45.97511257,253.3333333,31.63719774,"one"
"Pyrgus communis","North Sacramento","yes","multiple",3,"larva",1,2,1,5278007.109,27,"no",82.96969697,17.64845044,315.59375,39.8682179,"two"
"Pyrgus communis","Rancho Cordova","yes","multiple",3,"larva",1,2,1,5278007.109,27,"no",168,104.8574123,202.2142857,110.593628,"two"
"Pyrgus communis","Sierra Valley","yes","multiple",3,"larva",1,1,1,5278007.109,27,"no",195.1,70.17034828,214.2,65.39418934,"one"
"Pyrgus communis","Suisun Marsh","yes","multiple",3,"pupa",0,1,1,5278007.109,27,"no",138,106.0886422,190.8181818,122.8876057,"one"
"Pyrgus communis","Washington","yes","two",2,"larva",1,1,1,5278007.109,27,"no",148.71875,47.623005,263.5,41.89310514,"one"
"Pyrgus communis","West Sacramento","yes","multiple",3,"larva",1,2,1,5278007.109,27,"no",175.7692308,103.7578542,196.4166667,96.98590182,"two"
"Pyrgus ruralis","Castle Peak","yes","one",1,"larva",0,1,1,1225123.909,24,"no",193.3,19.09071909,196.1363636,17.07768094,"one"
"Pyrgus ruralis","Donner Pass","yes","one",1,"larva",0,1,1,1225123.909,24,"no",159.8333333,19.0466906,192.0869565,20.40351395,"one"
"Pyrgus ruralis","Lang Crossing","yes","one",1,"larva",0,1,1,1225123.909,24,"no",135.7241379,18.60471628,154.0689655,17.18373615,"one"
"Pyrgus ruralis","Washington","no","one",1,"no",0,1,1,1225123.909,24,"no",120.6363636,18.00706932,127.4545455,10.52961192,"one"
"Pyrgus scriptura","Gates Canyon","no","multiple",3,"pupa",0,1,1,1297578.383,19,"no",NA,NA,NA,NA,"one"
"Pyrgus scriptura","North Sacramento","yes","multiple",3,"pupa",0,1,1,1297578.383,19,"no",102.5862069,45.81446843,214.0689655,55.44168818,"one"
"Pyrgus scriptura","Suisun Marsh","yes","multiple",3,"larva",1,1,1,1297578.383,19,"no",149.1818182,81.6061495,172.6363636,74.74125063,"one"
"Pyrgus scriptura","West Sacramento","yes","multiple",3,"pupa",0,1,1,1297578.383,19,"no",144.9090909,85.7221728,179.4545455,78.47211433,"one"
"Satyrium auretorum","Gates Canyon","yes","one",1,"egg",0,1,1,390165.2848,26.5,"no",134.2,18.56609814,139.6,23.56480426,"one"
"Satyrium auretorum","Lang Crossing","yes","one",1,"egg",0,1,1,390165.2848,26.5,"no",187.5,12.43950881,194.9,13.01550799,"one"
"Satyrium auretorum","North Sacramento","yes","one",1,"egg",0,1,1,390165.2848,26.5,"no",NA,NA,NA,NA,"one"
"Satyrium auretorum","Rancho Cordova","yes","one",1,"egg",0,1,1,390165.2848,26.5,"no",130.6666667,23.02896727,134.6666667,24.82606158,"one"
"Satyrium auretorum","Sierra Valley","no","one",1,"egg",0,1,1,390165.2848,26.5,"no",NA,NA,NA,NA,"one"
"Satyrium auretorum","Washington",NA,"one",1,"egg",0,1,1,390165.2848,26.5,"no",175.4285714,22.41173162,180.2857143,20.57275128,"one"
"Satyrium behrii","Castle Peak","yes","one",1,"egg",0,1,1,1562582.986,26.5,"no",222.9,17.98425237,229.5555556,19.90672695,"one"
"Satyrium behrii","Donner Pass","no","one",1,"egg",0,0,0,1562582.986,26.5,"no",204.3333333,17.27522311,220.8095238,19.93895446,"zero"
"Satyrium behrii","Sierra Valley","yes","one",1,"egg",0,2,1,1562582.986,26.5,"no",207.8,30.6218876,211.8,31.91708007,"two"
"Satyrium californica","Castle Peak","no","one",1,"egg",0,1,1,1413309.208,27,"no",NA,NA,NA,NA,"one"
"Satyrium californica","Donner Pass","yes","one",1,"egg",0,1,1,1413309.208,27,"no",210.8108108,14.08079432,224.5945946,19.36557579,"one"
"Satyrium californica","Gates Canyon","yes","one",1,"egg",0,1,1,1413309.208,27,"no",142.8333333,30.93487784,150.3333333,26.70330816,"one"
"Satyrium californica","Lang Crossing","yes","one",1,"egg",0,2,2,1413309.208,27,"no",189.2631579,16.65947213,196.7368421,15.43388086,"two"
"Satyrium californica","North Sacramento","yes","one",1,"egg",0,1,1,1413309.208,27,"no",136.8571429,13.80207791,148.1071429,14.27336106,"one"
"Satyrium californica","Rancho Cordova","yes","one",1,"egg",0,1,1,1413309.208,27,"no",143.1666667,35.2500591,148.3333333,33.06760751,"one"
"Satyrium californica","Sierra Valley","yes","one",1,"egg",0,1,1,1413309.208,27,"no",198.6,16.81665841,196.6,24.9158584,"one"
"Satyrium californica","Suisun Marsh","no","one",1,NA,0,1,1,1413309.208,27,"no",NA,NA,NA,NA,"one"
"Satyrium californica","Washington","yes","one",1,"egg",0,2,2,1413309.208,27,"no",165.3478261,20.71145642,182.7391304,15.09129006,"two"
"Satyrium californica","West Sacramento","no","one",1,"egg",0,1,1,1413309.208,27,"no",NA,NA,NA,NA,"one"
"Satyrium fuliginosum fuliginosum","Castle Peak","yes","one",1,"egg",0,1,1,910573.2419,26.5,"no",205.9722222,14.2537937,227,16.83610838,"one"
"Satyrium fuliginosum fuliginosum","Donner Pass","yes","one",1,"egg",0,1,1,910573.2419,26.5,"no",199.6923077,14.7311947,207.6410256,15.31508919,"one"
"Satyrium fuliginosum semiluna","Sierra Valley","yes","one",1,"egg",0,1,1,910573.2419,26.5,"no",172.5,16.26345597,181,14.14213562,"one"
"Satyrium saepium","Castle Peak",NA,"one",1,"egg",0,1,1,1373392.151,26,"no",228.6153846,15.26181762,232.6666667,20.0333056,"one"
"Satyrium saepium","Donner Pass","yes","one",1,"egg",0,1,1,1373392.151,26,"no",217,15.21811122,261.7111111,11.51406693,"one"
"Satyrium saepium","Gates Canyon","yes","one",1,"egg",0,1,1,1373392.151,26,"no",175.3333333,27.42018721,179,24.75479751,"one"
"Satyrium saepium","Lang Crossing","yes","one",1,"egg",0,1,1,1373392.151,26,"no",203.3461538,15.87940127,210.5384615,18.78346245,"one"
"Satyrium saepium","Sierra Valley","yes","one",1,"egg",0,1,1,1373392.151,26,"no",211.3333333,31.55735519,211.6666667,27.77528878,"one"
"Satyrium saepium","Washington","yes","one",1,"egg",0,1,1,1373392.151,26,"no",181,21.32682192,205.76,25.45630243,"one"
"Satyrium sylvinus","Castle Peak",NA,"one",1,"egg",0,1,1,2003031.079,26,"no",NA,NA,NA,NA,"one"
"Satyrium sylvinus","Donner Pass","yes","one",1,"egg",0,1,1,2003031.079,26,"no",204.8478261,11.82834147,240.7391304,17.5947401,"one"
"Satyrium sylvinus","Gates Canyon","yes","one",1,"egg",0,1,1,2003031.079,26,"no",159.8571429,37.74664917,165.7142857,34.34003633,"one"
"Satyrium sylvinus","Lang Crossing","yes","one",1,"egg",0,1,1,2003031.079,26,"no",191.9047619,13.84550561,208.4761905,17.05262743,"one"
"Satyrium sylvinus","North Sacramento","yes","one",1,"egg",0,1,1,2003031.079,26,"no",149.4375,20.68962261,187.6875,16.6625667,"one"
"Satyrium sylvinus","Rancho Cordova",NA,"one",1,NA,0,1,1,2003031.079,26,"no",161.75,24.30877756,162.25,23.21457875,"one"
"Satyrium sylvinus","Sierra Valley",NA,"one",1,"egg",0,1,1,2003031.079,26,"no",227.5,52.06726419,222.5,53.97839074,"one"
"Satyrium sylvinus","Suisun Marsh","no","one",1,NA,0,1,1,2003031.079,26,"no",NA,NA,NA,NA,"one"
"Satyrium sylvinus","Washington","yes","one",1,"egg",0,1,1,2003031.079,26,"no",181.0740741,24.25493752,192.3703704,22.3660941,"one"
"Satyrium sylvinus","West Sacramento","yes","one",1,"egg",0,1,1,2003031.079,26,"no",173.8333333,33.38512643,177.6666667,32.76990489,"one"
"Satyrium tetra","Gates Canyon","yes","one",1,"egg",0,1,1,416032.0296,28,"no",163.5,20.66397832,162.5,17.91647287,"one"
"Satyrium tetra","Sierra Valley","yes","one",1,"egg",0,1,1,416032.0296,28,"no",203.3333333,25.31139401,204.8333333,24.71773992,"one"
"Satyrium tetra","Washington","no","one",1,"no",0,1,1,416032.0296,28,"no",NA,NA,NA,NA,"one"
"Speyeria atlantis irene","Castle Peak","yes","one",1,"larva",0,1,1,751065.4984,55.5,"no",202.2903226,18.8293982,226.3666667,19.40579958,"one"
"Speyeria atlantis irene","Donner Pass","yes","one",1,"larva",0,1,1,751065.4984,55.5,"no",182.0434783,13.54819631,257.173913,16.70170231,"one"
"Speyeria atlantis irene","Lang Crossing","no","one",1,"larva",0,1,1,751065.4984,55.5,"no",207.0714286,20.37141393,212,20.48263805,"one"
"Speyeria atlantis irene","Washington","no","one",1,"no",0,1,1,751065.4984,55.5,"no",NA,NA,NA,NA,"one"
"Speyeria callippe juba","Donner Pass","no","one",1,"larva",0,1,1,2095785.034,56,"no",NA,NA,NA,NA,"one"
"Speyeria callippe juba","Lang Crossing","yes","one",1,"larva",0,1,1,2095785.034,56,"no",170.1578947,21.42179531,193.1842105,22.95454411,"one"
"Speyeria callippe juba","Rancho Cordova","no","one",1,"no",0,1,1,2095785.034,56,"no",NA,NA,NA,NA,"one"
"Speyeria callippe juba","Washington","yes","one",1,"larva",0,1,1,2095785.034,56,"no",161.8928571,19.83326664,186.2857143,15.38122266,"one"
"Speyeria callippe nevadensis","Donner Pass","no","one",1,"larva",0,1,1,2095785.034,56,"no",NA,NA,NA,NA,"one"
"Speyeria callippe nevadensis","Sierra Valley","yes","one",1,"larva",0,1,1,2095785.034,56,"no",184.8,28.02142038,186,32.99242337,"one"
"Speyeria callippe ssp.","Gates Canyon","no","one",1,"larva",0,NA,NA,2095785.034,56,"no",NA,NA,NA,NA,NA
"Speyeria coronis","Castle Peak","yes","one",1,"larva",0,1,1,1966878.45,57,"no",206.25,32.513284,225.7692308,24.64127244,"one"
"Speyeria coronis","Donner Pass","yes","one",1,"larva",0,1,1,1966878.45,57,"no",196.5897436,32.84230099,245.7692308,20.90512596,"one"
"Speyeria coronis","Gates Canyon","yes","one",1,"larva",0,1,1,1966878.45,57,"no",189,58.57189315,187.25,52.39831422,"one"
"Speyeria coronis","Lang Crossing","yes","one",1,"larva",0,1,1,1966878.45,57,"no",203.3333333,30.78419508,210.4,27.65811687,"one"
"Speyeria coronis","North Sacramento","no","one",1,"no",0,1,1,1966878.45,57,"no",NA,NA,NA,NA,"one"
"Speyeria coronis","Sierra Valley","yes","one",1,"larva",0,1,1,1966878.45,57,"no",213.75,51.25217765,225.5,52.22205336,"one"
"Speyeria coronis","Suisun Marsh","no","one",1,NA,0,1,1,1966878.45,57,"no",NA,NA,NA,NA,"one"
"Speyeria cybele leto","Castle Peak","no","one",1,"larva",0,1,1,3917930.37,78,"no",NA,NA,NA,NA,"one"
"Speyeria cybele leto","Donner Pass","yes","one",1,"larva",0,1,1,3917930.37,78,"no",208.34375,14.87931965,227.1875,18.22164169,"one"
"Speyeria cybele leto","Lang Crossing","yes","one",1,"larva",0,1,1,3917930.37,78,"no",207.9333333,19.05153326,224.3,19.52743428,"one"
"Speyeria cybele leto","Sierra Valley","yes","one",1,"larva",0,1,1,3917930.37,78,"no",209.25,48.58926493,207.5,47.38846554,"one"
"Speyeria egleis","Castle Peak","yes","one",1,"larva",0,1,1,NA,51,"no",195.8076923,16.93993915,237.5357143,15.14738003,"one"
"Speyeria egleis","Donner Pass","yes","one",1,"larva",0,1,1,NA,51,"no",197.3333333,17.97725836,247.4444444,17.45195425,"one"
"Speyeria egleis","Lang Crossing","no","one",1,"larva",0,1,1,NA,51,"no",NA,NA,NA,NA,"one"
"Speyeria egleis","Sierra Valley","no","one",1,"no",0,1,1,NA,51,"no",NA,NA,NA,NA,"one"
"Speyeria hydaspe","Castle Peak","no","one",1,"no",0,1,1,1188190.977,49.5,"no",NA,NA,NA,NA,"one"
"Speyeria hydaspe","Donner Pass","no","one",1,"no",0,1,1,1188190.977,49.5,"no",209.1538462,25.3273441,221.1538462,21.48195426,"one"
"Speyeria hydaspe","Lang Crossing","yes","one",1,"larva",0,1,1,1188190.977,49.5,"no",183.8139535,13.58089662,227.2790698,18.48722285,"one"
"Speyeria hydaspe","Sierra Valley","no","one",1,"no",0,1,1,1188190.977,49.5,"no",NA,NA,NA,NA,"one"
"Speyeria hydaspe","Washington","yes","one",1,"larva",0,1,1,1188190.977,49.5,"no",189.1538462,12.89555678,211,15.51257554,"one"
"Speyeria mormonia","Castle Peak","yes","one",1,"larva",0,1,1,1747734.343,46.5,"no",212.8285714,15.69841827,239.826087,17.33533484,"one"
"Speyeria mormonia","Donner Pass","yes","one",1,"larva",0,1,1,1747734.343,46.5,"no",205.6956522,15.4256202,255.6086957,17.95485482,"one"
"Speyeria mormonia","Sierra Valley","no","one",1,NA,0,1,1,1747734.343,46.5,"no",NA,NA,NA,NA,"one"
"Speyeria zerene","Castle Peak","yes","one",1,"larva",0,1,1,1876792.671,57.5,"no",210.7916667,18.91164621,216.1363636,21.15992496,"one"
"Speyeria zerene","Donner Pass","yes","one",1,"larva",0,1,1,1876792.671,57.5,"no",201.1162791,19.93466627,245.744186,17.91526753,"one"
"Speyeria zerene","Lang Crossing","yes","one",1,"larva",0,1,1,1876792.671,57.5,"no",192.8809524,19.96118475,243.1219512,21.66009594,"one"
"Speyeria zerene","Sierra Valley","yes","one",1,"larva",0,1,1,1876792.671,57.5,"no",213,44.18791043,222.5,44.89988864,"one"
"Speyeria zerene","Washington","yes","one",1,"larva",0,1,1,1876792.671,57.5,"no",187.7692308,21.52265354,244.0384615,27.9377605,"one"
"Strymon melinus","Castle Peak","no","multiple",3,"no",1,NA,NA,5800493.274,26.5,"no",224.875,23.24058949,224.875,23.24058949,NA
"Strymon melinus","Donner Pass","no","multiple",3,"no",1,1,1,5800493.274,26.5,"no",225.6333333,23.87681509,246.5666667,24.18560891,"one"
"Strymon melinus","Gates Canyon","yes","multiple",3,"pupa",1,8,4,5800493.274,26.5,"no",158.3076923,89.24253901,185.3076923,98.75169586,"multiple"
"Strymon melinus","Lang Crossing","no","multiple",3,NA,1,3,2,5800493.274,26.5,"no",207.1785714,32.99837658,237.6428571,31.85640733,"multiple"
"Strymon melinus","North Sacramento","yes","multiple",3,"pupa",1,11,5,5800493.274,26.5,"no",90.09090909,33.11095328,289.2727273,41.62726925,"multiple"
"Strymon melinus","Rancho Cordova","yes","multiple",3,"pupa",1,7,4,5800493.274,26.5,"no",160.5833333,91.49710212,201.75,96.26396003,"multiple"
"Strymon melinus","Sierra Valley","no","multiple",3,"no",1,NA,NA,5800493.274,26.5,"no",225.5714286,46.60778598,236.1428571,40.76529803,NA
"Strymon melinus","Suisun Marsh","yes","multiple",3,"pupa",1,8,4,5800493.274,26.5,"no",164.2142857,106.9206597,196.7142857,108.7222492,"multiple"
"Strymon melinus","Washington","no","multiple",3,"no",1,1,1,5800493.274,26.5,"no",188.483871,45.98323678,255.516129,21.71922492,"one"
"Strymon melinus","West Sacramento","yes","multiple",3,"pupa",1,8,5,5800493.274,26.5,"no",153.4615385,97.64187574,189.0769231,100.0886786,"multiple"
"Thessalia leanira","Gates Canyon","no","one",1,"larva",0,1,1,963150.554,38.5,"no",145,9.899494937,151,1.414213562,"one"
"Thessalia leanira","Lang Crossing","no","one",1,NA,0,1,1,963150.554,38.5,"no",NA,NA,NA,NA,"one"
"Thessalia leanira","Washington","yes","one",1,"larva",0,1,1,963150.554,38.5,"no",161,12.39106378,168,13.37046113,"one"
"Thorbyes diversus","Lang Crossing","yes",NA,NA,"larva",NA,NA,NA,149163.0615,32.5,"no",NA,NA,NA,NA,NA
"Thorybes diversus","Washington","yes","one",1,"larva",0,1,1,149163.0615,32.5,"no",NA,NA,NA,NA,"one"
"Thorybes mexicana nevada","Castle Peak","yes","one",1,"larva",0,1,1,964260.0842,32,"no",199.2941176,24.53254141,214.2702703,17.80706578,"one"
"Thorybes mexicana nevada","Donner Pass","yes","one",1,"larva",0,1,1,964260.0842,32,"no",171.4390244,19.16644044,200.6222222,18.7389833,"one"
"Thorybes mexicana nevada","Lang Crossing","no","one",1,"larva",0,1,1,964260.0842,32,"no",159.8888889,22.54686477,163.8888889,20.38040998,"one"
"Thorybes mexicana nevada","Sierra Valley","no","one",1,"larva",0,3,1,964260.0842,32,"no",NA,NA,NA,NA,"multiple"
"Thorybes pylades","Gates Canyon","yes","one",1,"larva",0,3,1,3829091.829,35.5,"no",119.8,34.43399483,118.6,27.62788446,"multiple"
"Thorybes pylades","Lang Crossing",NA,"one",1,"larva",0,2,1,3829091.829,35.5,"no",161.7,18.12558529,167.95,16.83503552,"two"
"Thorybes pylades","Washington","yes","one",1,"larva",0,2,1,3829091.829,35.5,"no",142.7222222,22.21765476,152.1666667,16.97142928,"two"
"Vanessa annabella","Castle Peak","yes","multiple",3,"adult",1,1,1,3022944.216,43,"no",205.9230769,24.08306139,234.6071429,19.20134888,"one"
"Vanessa annabella","Donner Pass","yes","multiple",3,"adult",1,1,1,3022944.216,43,"no",177.372093,34.42177,263.325,30.04218188,"one"
"Vanessa annabella","Gates Canyon","yes","multiple",3,"all",1,3,2,3022944.216,43,"no",173.5714286,109.3960443,199.5,107.909328,"multiple"
"Vanessa annabella","Lang Crossing","yes","multiple",3,NA,1,1,1,3022944.216,43,"no",192.3428571,48.39904159,242.5,40.5226568,"one"
"Vanessa annabella","North Sacramento","yes","multiple",3,"all",1,3,2,3022944.216,43,"no",62.5625,43.56155267,295.3939394,70.11773108,"multiple"
"Vanessa annabella","Rancho Cordova","yes","multiple",3,"all",1,2,2,3022944.216,43,"no",186.1538462,107.8052613,191.8461538,111.3357132,"two"
"Vanessa annabella","Sierra Valley","yes","multiple",3,"adult",1,2,2,3022944.216,43,"no",196.4444444,77.10886964,198.5555556,82.33940598,"two"
"Vanessa annabella","Suisun Marsh","yes","multiple",3,"all",1,3,2,3022944.216,43,"no",160.7857143,111.5445262,201.9285714,110.0653402,"multiple"
"Vanessa annabella","Washington","yes","multiple",3,"adult",1,1,1,3022944.216,43,"no",188.76,67.26271875,251.48,60.86879332,"one"
"Vanessa annabella","West Sacramento","yes","multiple",3,"all",1,4,2,3022944.216,43,"no",156.5714286,117.9828633,200.4285714,108.570937,"multiple"
"Vanessa atalanta","Castle Peak","no","multiple",3,"adult",0,1,1,6277217.293,56.5,"no",NA,NA,NA,NA,"one"
"Vanessa atalanta","Donner Pass","no","multiple",3,"adult",0,1,1,6277217.293,56.5,"no",207.1,50.29690793,231.952381,50.38797098,"one"
"Vanessa atalanta","Gates Canyon","yes","multiple",3,"adult",0,1,1,6277217.293,56.5,"no",167.7142857,111.3258755,198.5714286,111.7687959,"one"
"Vanessa atalanta","Lang Crossing","no","multiple",3,"no",0,1,1,6277217.293,56.5,"no",174.9565217,38.50676241,194.9565217,50.61304024,"one"
"Vanessa atalanta","North Sacramento","yes","multiple",3,"adult",1,1,1,6277217.293,56.5,"no",47.45454545,34.1211911,298.6666667,52.820845,"one"
"Vanessa atalanta","Rancho Cordova","yes","multiple",3,"adult",0,1,1,6277217.293,56.5,"no",168.1428571,105.5839856,203.7857143,115.7039848,"one"
"Vanessa atalanta","Sierra Valley","no","multiple",3,"no",0,1,1,6277217.293,56.5,"no",185.25,69.45245033,188.5,66.65047422,"one"
"Vanessa atalanta","Suisun Marsh","yes","multiple",3,"adult",0,1,1,6277217.293,56.5,"no",163.5714286,107.321024,199.5,113.3827758,"one"
"Vanessa atalanta","Washington","yes","multiple",3,"adult",0,1,1,6277217.293,56.5,"no",146.5,63.25590505,189.8636364,65.57169501,"one"
"Vanessa atalanta","West Sacramento","yes","multiple",3,"adult",1,1,1,6277217.293,56.5,"no",162.5,114.336716,199.9285714,110.1812942,"one"
"Vanessa cardui","Castle Peak","no","multiple",3,"adult",1,11,6,5985080.096,55,"no",204.5185185,25.7299143,222.3333333,28.4754381,"multiple"
"Vanessa cardui","Donner Pass","no","multiple",3,"adult",1,10,NA,5985080.096,55,"no",175.9534884,42.20976726,252.5121951,35.37521869,"multiple"
"Vanessa cardui","Gates Canyon","no","multiple",3,"adult",1,11,4,5985080.096,55,"no",176.6923077,102.2532678,215.6153846,104.0613108,"multiple"
"Vanessa cardui","Lang Crossing","no","multiple",3,"no",1,8,5,5985080.096,55,"no",147.9090909,50.81053264,211.5625,47.51090707,"multiple"
"Vanessa cardui","North Sacramento","no","multiple",3,"adult",1,NA,NA,5985080.096,55,"no",89.3125,45.01428985,282.625,61.46688067,NA
"Vanessa cardui","Rancho Cordova","no","multiple",3,"adult",1,NA,5,5985080.096,55,"no",167.1428571,103.4280554,191.7142857,104.7145781,NA
"Vanessa cardui","Sierra Valley","no","multiple",3,"no",1,9,3,5985080.096,55,"no",180.2727273,78.95579891,208.3636364,74.18257575,"multiple"
"Vanessa cardui","Suisun Marsh","no","multiple",3,"adult",1,10,NA,5985080.096,55,"no",165.5,111.0459018,194.9285714,108.370067,"multiple"
"Vanessa cardui","Washington","no","multiple",3,"adult",1,7,5,5985080.096,55,"no",124.4615385,58.36590153,218,71.31619732,"multiple"
"Vanessa cardui","West Sacramento","no","multiple",3,"adult",1,16,NA,5985080.096,55,"no",166.5714286,107.5050727,199,109.1914339,"multiple"
"Vanessa virginiensis","Castle Peak","no","multiple",3,"adult",0,2,1,5075310.833,50.5,"no",206.1153846,23.18849184,216.0344828,19.31410062,"two"
"Vanessa virginiensis","Donner Pass","yes","multiple",3,"adult",0,2,1,5075310.833,50.5,"no",179.5581395,22.96094233,263.9333333,31.56623628,"two"
"Vanessa virginiensis","Gates Canyon","yes","multiple",3,"adult",0,1,1,5075310.833,50.5,"no",186.7692308,90.75622462,212.0769231,102.3054752,"one"
